UPID	Gene	Molecular weight (Da)	GALACTOSE	ACETATE	PYRUVATE	GLYCEROL	FRUCTOSE	SUCCINATE	GLUCOSE	Annotated functional COG group (description)	Description	Annotated functional COG class	Annotated functional COG groups (letter)
P39265	alsB	32871.13079	39	19	47	40	16	24	19	Carbohydrate transport and metabolism	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	METABOLISM	G
P04982	rbsD	15264.79589	1426	577	599	436	372	670	177	Carbohydrate transport and metabolism	D-ribose pyranase OS=Escherichia coli (strain K12) GN=rbsD PE=1 SV=3	METABOLISM	G
P0AG07	rpe	24520.63986	132	147	260	244	NA	258	524	Carbohydrate transport and metabolism	Ribulose-phosphate 3-epimerase OS=Escherichia coli (strain K12) GN=rpe PE=1 SV=1	METABOLISM	G
P37643	yhjE	47159.43524	195	106	183	447	654	362	467	Carbohydrate transport and metabolism	Inner membrane metabolite transport protein yhjE OS=Escherichia coli (strain K12) GN=yhjE PE=1 SV=1	METABOLISM	G
P77269	yphF	35018.23833	12	4	6	7	NA	8	24	Carbohydrate transport and metabolism	ABC transporter periplasmic-binding protein yphF OS=Escherichia coli (strain K12) GN=yphF PE=1 SV=1	METABOLISM	G
P28903	nrdD	79954.12102	27	32	26	48	19	22	30	Nucleotide transport and metabolism	Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2	METABOLISM	F
P0AFF2	nupC	43429.29651	10	71	57	70	171	51	122	Nucleotide transport and metabolism	Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1	METABOLISM	F
P0AG18	purE	17751.20248	2070	2559	2302	1914	2819	2446	3610	Nucleotide transport and metabolism	N5-carboxyaminoimidazole ribonucleotide mutase OS=Escherichia coli (strain K12) GN=purE PE=1 SV=2	METABOLISM	F
P39452	nrdE	80410.27706	18	8	14	12	13	9	14	Nucleotide transport and metabolism	Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3	METABOLISM	F
P0ACE7	hinT	13214.88763	2140	2056	1559	2151	2095	2115	1990	Nucleotide transport and metabolism	HIT-like protein hinT OS=Escherichia coli (strain K12) GN=hinT PE=1 SV=1	METABOLISM	FGR
P68398	tadA	18687.39382	18	19	10	15	NA	57	26	Nucleotide transport and metabolism	tRNA-specific adenosine deaminase OS=Escherichia coli (strain K12) GN=tadA PE=1 SV=2	METABOLISM	FJ
P0A9Z1	glnB	12399.5981	890	857	1323	1516	1315	1206	1276	Amino acid transport and metabolism	Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) GN=glnB PE=1 SV=1	METABOLISM	E
P0AC81	gloA	14892.51473	1293	1205	1582	2436	2370	1793	1966	Amino acid transport and metabolism	Lactoylglutathione lyase OS=Escherichia coli (strain K12) GN=gloA PE=1 SV=1	METABOLISM	E
P06989	hisI	22723.48932	726	436	888	1303	1515	1006	1903	Amino acid transport and metabolism	Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) GN=hisI PE=3 SV=3	METABOLISM	E
P07109	hisP	28617.07416	119	60	124	110	110	109	142	Amino acid transport and metabolism	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2	METABOLISM	E
P0AFM2	proX	35981.90441	281	281	406	314	234	434	786	Amino acid transport and metabolism	Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1	METABOLISM	E
Q5H772	puuE	44682.75437	44	4	22	23	67	20	41	Amino acid transport and metabolism	Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1	METABOLISM	E
P77316	ybdR	44129.68183	6	11	8	10	NA	6	19	Amino acid transport and metabolism	Uncharacterized zinc-type alcohol dehydrogenase-like protein YbdR OS=Escherichia coli (strain K12) GN=ybdR PE=3 SV=1	METABOLISM	ER
P22524	mukE	26939.5778	175	228	287	271	216	242	340	Cell cycle control, cell division, chromosome partitioning	Chromosome partition protein mukE OS=Escherichia coli (strain K12) GN=mukE PE=1 SV=5	CELLULAR PROCESSES AND SIGNALING	D
P69506	ytfE	24848.55698	4	7	3	4	3	3	6	Cell cycle control, cell division, chromosome partitioning	Iron-sulfur cluster repair protein YtfE OS=Escherichia coli (strain K12) GN=ytfE PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	D
P0A830	dctA	45388.7442	243	207	126	97	73	567	37	Energy production and conversion	Aerobic C4-dicarboxylate transport protein OS=Escherichia coli (strain K12) GN=dctA PE=1 SV=1	METABOLISM	C
P28861	fpr	27715.30712	116	133	147	129	124	107	184	Energy production and conversion	Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4	METABOLISM	C
P0AEX5	prkB	32305.49054	231	245	305	291	257	205	173	Energy production and conversion	Probable phosphoribulokinase OS=Escherichia coli (strain K12) GN=prkB PE=3 SV=1	METABOLISM	C
P0ACY1	ydjA	20028.12237	1387	1660	1877	2045	2148	1784	2013	Energy production and conversion	Putative NAD(P)H nitroreductase ydjA OS=Escherichia coli (strain K12) GN=ydjA PE=1 SV=1	METABOLISM	C
P0ACB4	hemG	21194.86359	72	77	144	152	100	77	106	Energy production and conversion	Protoporphyrinogen IX dehydrogenase [menaquinone] OS=Escherichia coli (strain K12) GN=hemG PE=1 SV=1	METABOLISM	CH
P20099	bisC	85778.27471	24	12	18	25	45	25	31	Energy production and conversion	Biotin sulfoxide reductase OS=Escherichia coli (strain K12) GN=bisC PE=3 SV=3	METABOLISM	C
P18775	dmsA	90323.09785	1	1	2	2	1	2	1	Energy production and conversion	Anaerobic dimethyl sulfoxide reductase chain A OS=Escherichia coli (strain K12) GN=dmsA PE=1 SV=2	METABOLISM	C
P0AC47	frdB	27087.16048	120	138	210	153	170	277	165	Energy production and conversion	Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2	METABOLISM	C
P0ADK6	yibA	31835.55097	16	19	8	67	NA	8	31	Energy production and conversion	Protein yibA OS=Escherichia coli (strain K12) GN=yibA PE=1 SV=1	METABOLISM	C
P26649	glgS	7868.60495	4	17	12	10	NA	14	27		Glycogen synthesis protein glgS OS=Escherichia coli (strain K12) GN=glgS PE=1 SV=1		-
P0ACE3	hha	8604.45853	18	50	63	110	44	27	198		Hemolysin expression-modulating protein OS=Escherichia coli (strain K12) GN=hha PE=1 SV=1		-
P76002	pliG	14878.71052	271	288	326	415	169	270	485		Uncharacterized protein ycgK OS=Escherichia coli (strain K12) GN=ycgK PE=1 SV=1		-
P69411	rcsF	14136.20807	487	471	752	603	653	570	779		Protein rcsF OS=Escherichia coli (strain K12) GN=rcsF PE=4 SV=1		-
P75791	ybiU	47281.55224	22	20	29	33	35	22	56		Uncharacterized protein ybiU OS=Escherichia coli (strain K12) GN=ybiU PE=1 SV=1		-
P64455	ydcY	8776.45239	213	228	230	275	363	231	380		Uncharacterized protein ydcY OS=Escherichia coli (strain K12) GN=ydcY PE=4 SV=1		-
P0AD10	yecJ	9098.77479	160	224	379	385	838	550	460		Uncharacterized protein yecJ OS=Escherichia coli (strain K12) GN=yecJ PE=4 SV=1		-
P0ADS9	yggN	26394.56679	107	106	147	124	104	105	171		Uncharacterized protein yggN OS=Escherichia coli (strain K12) GN=yggN PE=4 SV=1		-
P0ADK8	yibL	13669.27463	1995	1166	1909	2735	2335	2891	1538		Uncharacterized protein yibL OS=Escherichia coli (strain K12) GN=yibL PE=1 SV=1		-
P45800	yrfF	79421.84741	23	30	27	33	44	39	41		Putative membrane protein igaA homolog OS=Escherichia coli (strain K12) GN=yrfF PE=1 SV=1		-
P0CB39	eptC	66549.84405	14	16	30	39	55	39	53		Phosphoethanolamine transferase CptA OS=Escherichia coli (strain K12) GN=cptA PE=1 SV=1		-
P27829	wecC	45791.59224	24	40	60	69	83	68	111		UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4		-
P0AAH4	sapD	37618.44779	3	2	7	10	NA	7	23	Defense mechanisms	Peptide transport system ATP-binding protein SapD OS=Escherichia coli (strain K12) GN=sapD PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	V
P0ABU9	tolQ	25563.37328	137	149	212	241	230	165	268	Intracellular trafficking, secretion, and vesicular transport	Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	U
P0AE82	cpxA	51573.93701	47	40	67	47	69	53	45	Signal transduction mechanisms	Sensor protein CpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P0A9E5	fnr	27931.33827	384	325	399	628	689	764	609	Signal transduction mechanisms	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P0AA89	dosC	53126.63208	23	17	12	10	12	20	7	Signal transduction mechanisms	Diguanylate cyclase DosC OS=Escherichia coli (strain K12) GN=dosC PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	T
P0ACZ4	evgA	22657.79834	22	66	45	17	84	46	52	Signal transduction mechanisms	Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P0AED5	uvrY	23859.35674	54	65	92	117	124	78	123	Signal transduction mechanisms	Response regulator uvrY OS=Escherichia coli (strain K12) GN=uvrY PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	TK
P39176	erfK	34371.6386	153	109	59	91	96	90	69	Function unknown	Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2	POORLY CHARACTERIZED	S
P0AAC8	iscA	11530.68237	774	730	736	1190	1784	1257	1451	Function unknown	Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1	POORLY CHARACTERIZED	S
P0AAA1	yagU	22933.93416	261	294	279	382	362	328	651	Function unknown	Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1	POORLY CHARACTERIZED	S
P77717	ybaY	19401.25324	5840	4735	2256	2992	3206	3160	4627	Function unknown	Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1	POORLY CHARACTERIZED	S
P0AAS7	ybcJ	7366.85319	305	238	348	433	510	389	408	Function unknown	Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1	POORLY CHARACTERIZED	S
P0A8J4	ybeD	9803.11355	2065	3175	4574	2898	3260	2866	4131	Function unknown	UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1	POORLY CHARACTERIZED	S
P0AB55	yciI	10577.40472	1485	1768	1662	1923	2338	1765	2116	Function unknown	Protein yciI OS=Escherichia coli (strain K12) GN=yciI PE=1 SV=1	POORLY CHARACTERIZED	S
P76243	yeaO	13359.93617	176	327	206	155	141	111	221	Function unknown	Uncharacterized protein yeaO OS=Escherichia coli (strain K12) GN=yeaO PE=1 SV=2	POORLY CHARACTERIZED	S
P52007	yecM	21173.77695	151	162	243	233	202	185	281	Function unknown	Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3	POORLY CHARACTERIZED	S
P33355	yehS	17943.51142	12	18	24	37	23	15	33	Function unknown	Uncharacterized protein yehS OS=Escherichia coli (strain K12) GN=yehS PE=4 SV=1	POORLY CHARACTERIZED	S
P21515	acpH	22928.39888	18	8	14	30	NA	20	22	Function unknown	Acyl carrier protein phosphodiesterase OS=Escherichia coli (strain K12) GN=acpH PE=3 SV=2	POORLY CHARACTERIZED	S
P37794	chbG	27738.11735	16	17	52	19	NA	21	39	Function unknown	UPF0249 protein ChbG OS=Escherichia coli (strain K12) GN=chbG PE=2 SV=2	POORLY CHARACTERIZED	S
P68206	yjbJ	8302.08165	750	497	394	432	394	325	454	Function unknown	UPF0337 protein yjbJ OS=Escherichia coli (strain K12) GN=yjbJ PE=1 SV=1	POORLY CHARACTERIZED	S
P0AF50	yjbR	13492.97324	843	552	512	481	438	492	415	Function unknown	Uncharacterized protein yjbR OS=Escherichia coli (strain K12) GN=yjbR PE=1 SV=1	POORLY CHARACTERIZED	S
P64581	yqjD	11026.85535	21360	10318	9081	15551	10706	11925	9434	Function unknown	Uncharacterized protein yqjD OS=Escherichia coli (strain K12) GN=yqjD PE=4 SV=1	POORLY CHARACTERIZED	S
P76035	yciW	42175.50636	55	68	67	69	75	75	70	Function unknown	Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2	POORLY CHARACTERIZED	S
P64559	ygfY	10522.17255	146	184	329	231	NA	645	190	Function unknown	UPF0350 protein ygfY OS=Escherichia coli (strain K12) GN=ygfY PE=1 SV=1	POORLY CHARACTERIZED	S
P0ADS2	zapA	12568.40402	613	449	623	635	761	712	813	Function unknown	Cell division protein ZapA OS=Escherichia coli (strain K12) GN=zapA PE=1 SV=1	POORLY CHARACTERIZED	S
P32662	gph	27353.99481	307	414	518	578	460	435	738	General function prediction only	Phosphoglycolate phosphatase OS=Escherichia coli (strain K12) GN=gph PE=1 SV=1	POORLY CHARACTERIZED	R
Q47147	yafJ	28599.20568	68	54	51	56	62	45	59	General function prediction only	Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1	POORLY CHARACTERIZED	R
P75915	ycdY	20693.05671	220	305	406	524	474	424	678	General function prediction only	Uncharacterized protein ycdY OS=Escherichia coli (strain K12) GN=ycdY PE=3 SV=1	POORLY CHARACTERIZED	R
P31131	ydeJ	18291.23947	38	33	9	9	8	9	12	General function prediction only	Protein YdeJ OS=Escherichia coli (strain K12) GN=ydeJ PE=3 SV=1	POORLY CHARACTERIZED	R
P77376	ydgJ	38215.63903	147	81	109	94	121	132	53	General function prediction only	Uncharacterized oxidoreductase ydgJ OS=Escherichia coli (strain K12) GN=ydgJ PE=1 SV=2	POORLY CHARACTERIZED	R
P76329	yedP	30402.39167	140	74	45	58	38	57	39	General function prediction only	Putative mannosyl-3-phosphoglycerate phosphatase OS=Escherichia coli (strain K12) GN=yedP PE=1 SV=1	POORLY CHARACTERIZED	R
P63417	yhbS	18504.27117	742	623	837	702	582	557	628	General function prediction only	Uncharacterized N-acetyltransferase YhbS OS=Escherichia coli (strain K12) GN=yhbS PE=3 SV=1	POORLY CHARACTERIZED	R
P0AGF2	csdE	15912.30672	152	129	136	173	191	149	196	General function prediction only	Uncharacterized sufE-like protein ygdK OS=Escherichia coli (strain K12) GN=ygdK PE=1 SV=1	POORLY CHARACTERIZED	R
P0AC84	gloB	28398.34858	245	359	237	275	207	287	282	General function prediction only	Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1	POORLY CHARACTERIZED	R
P0A823	sfsA	26194.26751	13	15	10	20	NA	19	43	General function prediction only	Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=3 SV=1	POORLY CHARACTERIZED	R
P39187	ytfJ	20389.71435	32	43	61	60	45	56	44	General function prediction only	Uncharacterized protein ytfJ OS=Escherichia coli (strain K12) GN=ytfJ PE=1 SV=1	POORLY CHARACTERIZED	R
P37631	yhiN	43695.37296	10	9	24	13	NA	43	53	General function prediction only	Uncharacterized protein yhiN OS=Escherichia coli (strain K12) GN=yhiN PE=4 SV=3	POORLY CHARACTERIZED	R
P0AF56	yjcO	25045.28681	18	26	28	29	NA	25	128	General function prediction only	Uncharacterized protein yjcO OS=Escherichia coli (strain K12) GN=yjcO PE=4 SV=1	POORLY CHARACTERIZED	R
P0A6G3	pncC	17552.71915	110	89	102	123	101	83	87	General function prediction only	Protein YgaD OS=Escherichia coli (strain K12) GN=ygaD PE=1 SV=1	POORLY CHARACTERIZED	R
P0ADI7	yecD	20421.60864	64	48	38	162	39	33	18	Secondary metabolites biosynthesis, transport and catabolism	Isochorismatase family protein yecD OS=Escherichia coli (strain K12) GN=yecD PE=1 SV=2	METABOLISM	Q
P77781	ydiI	14917.66901	184	232	278	267	292	218	313	Secondary metabolites biosynthesis, transport and catabolism	Esterase YdiI OS=Escherichia coli (strain K12) GN=ydiI PE=1 SV=1	METABOLISM	Q
P0ADP2	yigI	17133.75136	98	109	134	92	103	116	107	Secondary metabolites biosynthesis, transport and catabolism	Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1	METABOLISM	Q
P67826	cutC	26726.4102	35	41	53	55	35	58	77	Inorganic ion transport and metabolism	Copper homeostasis protein CutC OS=Escherichia coli (strain K12) GN=cutC PE=3 SV=1	METABOLISM	P
P15028	fecB	33107.56426	3	4	7	3	NA	4	11	Inorganic ion transport and metabolism	Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3	METABOLISM	P
P09833	modC	39059.97064	7	6	15	8	5	6	6	Inorganic ion transport and metabolism	Molybdenum import ATP-binding protein ModC OS=Escherichia coli (strain K12) GN=modC PE=1 SV=4	METABOLISM	P
P0AB52	ychN	12666.68706	1245	2835	2061	1227	922	999	2021	Inorganic ion transport and metabolism	Protein ychN OS=Escherichia coli (strain K12) GN=ychN PE=1 SV=1	METABOLISM	P
P0AGI8	trkA	50318.37257	27	51	36	44	32	25	42	Inorganic ion transport and metabolism	Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1	METABOLISM	P
P31827	yddB	89209.54745	2	1	1	1	NA	6	1	Inorganic ion transport and metabolism	Uncharacterized protein yddB OS=Escherichia coli (strain K12) GN=yddB PE=4 SV=2	METABOLISM	P
P15031	fecE	28154.54722	1	2	5	6	NA	5	14	Inorganic ion transport and metabolism	Fe(3+) dicitrate transport ATP-binding protein FecE OS=Escherichia coli (strain K12) GN=fecE PE=1 SV=1	METABOLISM	PH
P0AC51	zur 	19223.57739	136	90	137	103	91	86	70	Inorganic ion transport and metabolism	Zinc uptake regulation protein OS=Escherichia coli (strain K12) GN=zur PE=1 SV=1	METABOLISM	P
P77202	dsbG	27459.24651	89	63	87	122	151	116	130	Posttranslational modification, protein turnover, chaperones	Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P23894	htpX	31884.55363	196	255	463	395	414	304	451	Posttranslational modification, protein turnover, chaperones	Protease HtpX OS=Escherichia coli (strain K12) GN=htpX PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0C058	ibpB	16065.15753	15	10	13	21	29	21	20	Posttranslational modification, protein turnover, chaperones	Small heat shock protein ibpB OS=Escherichia coli (strain K12) GN=ibpB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0AEM0	fkpB	16052.92141	1241	1531	1175	1354	1749	1215	1255	Posttranslational modification, protein turnover, chaperones	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain K12) GN=fkpB PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	O
P24554	radA	49422.57371	35	24	43	33	58	33	39	Posttranslational modification, protein turnover, chaperones	DNA repair protein radA OS=Escherichia coli (strain K12) GN=radA PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P76256	tsaB	25146.67925	18	63	52	44	41	27	105	Posttranslational modification, protein turnover, chaperones	M22 peptidase homolog yeaZ OS=Escherichia coli (strain K12) GN=yeaZ PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	O
P0A725	lpxC	33916.22523	133	90	109	115	100	109	131	Cell wall/membrane/envelope biogenesis	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P16926	mreC	39487.79943	22	26	51	64	39	28	51	Cell wall/membrane/envelope biogenesis	Rod shape-determining protein mreC OS=Escherichia coli (strain K12) GN=mreC PE=3 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P0A742	mscL	14929.15587	1697	1090	1088	1548	1339	1086	1409	Cell wall/membrane/envelope biogenesis	Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P22634	murI	30964.21429	50	63	62	51	71	52	67	Cell wall/membrane/envelope biogenesis	Glutamate racemase OS=Escherichia coli (strain K12) GN=murI PE=1 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P10100	rlpA	37486.83992	176	184	297	232	335	278	290	Cell wall/membrane/envelope biogenesis	Rare lipoprotein A OS=Escherichia coli (strain K12) GN=rlpA PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P0AA91	yeaY	20889.78297	162	51	92	60	77	61	73	Cell wall/membrane/envelope biogenesis	Uncharacterized lipoprotein yeaY OS=Escherichia coli (strain K12) GN=yeaY PE=4 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P0ADC1	lptE	21325.06865	259	170	255	236	284	200	307	Cell wall/membrane/envelope biogenesis	LPS-assembly lipoprotein lptE OS=Escherichia coli (strain K12) GN=lptE PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
P39310	ytfB	23472.89561	169	162	241	229	168	128	194	Cell wall/membrane/envelope biogenesis	Uncharacterized protein ytfB OS=Escherichia coli (strain K12) GN=ytfB PE=4 SV=2	CELLULAR PROCESSES AND SIGNALING	M
P39315	qorB	29697.29065	200	171	192	234	286	238	269	Cell wall/membrane/envelope biogenesis	Quinone oxidoreductase 2 OS=Escherichia coli (strain K12) GN=qorB PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	MG
P0ADE4	tamA	64738.07628	29	25	24	29	27	22	36	Cell wall/membrane/envelope biogenesis	Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1	CELLULAR PROCESSES AND SIGNALING	M
Q47150	dinJ	9381.99717	144	196	140	138	177	127	260	Replication, recombination and repair	Antitoxin DinJ OS=Escherichia coli (strain K12) GN=dinJ PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P0ACF4	hupB	9201.98388	25362	29079	41530	38259	26074	32349	41918	Replication, recombination and repair	DNA-binding protein HU-beta OS=Escherichia coli (strain K12) GN=hupB PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P23367	mutL	67863.65578	7	10	17	15	12	11	8	Replication, recombination and repair	DNA mismatch repair protein mutL OS=Escherichia coli (strain K12) GN=mutL PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	L
P03018	uvrD	81920.30694	30	32	30	36	36	30	31	Replication, recombination and repair	DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P0A8G9	xseB	8928.51546	697	637	634	707	827	965	921	Replication, recombination and repair	Exodeoxyribonuclease 7 small subunit OS=Escherichia coli (strain K12) GN=xseB PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	L
Q93K97	nudF	23634.09928	133	106	116	125	122	95	139	Replication, recombination and repair	ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) GN=nudF PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	L
P0AFH0	ogt	19148.91391	25	22	50	50	NA	35	57	Replication, recombination and repair	Methylated-DNA--protein-cysteine methyltransferase OS=Escherichia coli (strain K12) GN=ogt PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	L
P25888	rhlE	49940.79918	0	2	1	2	0	0	25	Replication, recombination and repair	ATP-dependent RNA helicase rhlE OS=Escherichia coli (strain K12) GN=rhlE PE=1 SV=3	INFORMATION STORAGE AND PROCESSING	LKJ
P37128	nudK	21717.06677	1209	1048	1571	2147	2508	1770	2491	Replication, recombination and repair	GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	LR
P0A9Y6	cspC	7379.75048	33464	39126	38415	53740	63286	53859	58803	Transcription	Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	K
P0A968	cspD	7945.88707	3656	2724	4438	4436	2494	6195	1247	Transcription	Cold shock-like protein CspD OS=Escherichia coli (strain K12) GN=cspD PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0A972	cspE	7440.80325	9117	7177	16629	17206	20953	17217	17168	Transcription	Cold shock-like protein CspE OS=Escherichia coli (strain K12) GN=cspE PE=1 SV=2	INFORMATION STORAGE AND PROCESSING	K
P0ACL5	glcC	28790.28432	40	42	54	22	13	52	19	Transcription	Glc operon transcriptional activator OS=Escherichia coli (strain K12) GN=glcC PE=4 SV=1	INFORMATION STORAGE AND PROCESSING	K
P36771	lrhA	34553.72226	33	13	47	36	31	46	18	Transcription	Probable HTH-type transcriptional regulator lrhA OS=Escherichia coli (strain K12) GN=lrhA PE=4 SV=2	INFORMATION STORAGE AND PROCESSING	K
P0A8W0	nanR	29488.0806	95	78	102	92	119	110	117	Transcription	Transcriptional regulator nanR OS=Escherichia coli (strain K12) GN=nanR PE=3 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0A6Z6	nikR	15066.51645	744	255	857	734	916	744	541	Transcription	Nickel-responsive regulator OS=Escherichia coli (strain K12) GN=nikR PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P76086	paaX	35254.60123	39	25	26	18	33	40	11	Transcription	Phenylacetic acid degradation operon negative regulatory protein paaX OS=Escherichia coli (strain K12) GN=paaX PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0ACL9	pdhR	29389.36331	23	52	324	48	86	36	102	Transcription	Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0ACR4	yeiE	32685.2267	29	66	46	74	42	27	122	Transcription	Uncharacterized HTH-type transcriptional regulator yeiE OS=Escherichia coli (strain K12) GN=yeiE PE=4 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0ACK2	agaR	29536.09198	22	29	27	30	34	24	30	Transcription	Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1	INFORMATION STORAGE AND PROCESSING	KG
P32144	yihW	28471.68182	50	43	62	61	47	47	39	Transcription	Uncharacterized HTH-type transcriptional regulator yihW OS=Escherichia coli (strain K12) GN=yihW PE=4 SV=2	INFORMATION STORAGE AND PROCESSING	KG
P0ACL7	lldR	29129.87064	5	4	15	22	NA	14	17	Transcription	Putative L-lactate dehydrogenase operon regulatory protein OS=Escherichia coli (strain K12) GN=lldR PE=2 SV=1	INFORMATION STORAGE AND PROCESSING	K
P13669	mngR	28237.64919	11	30	27	24	NA	17	54	Transcription	Mannosyl-D-glycerate transport/metabolism system repressor mngR OS=Escherichia coli (strain K12) GN=mngR PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P77295	ygaV	10571.51605	53	88	58	88	NA	89	143	Transcription	Probable HTH-type transcriptional regulator ygaV OS=Escherichia coli (strain K12) GN=ygaV PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P0ACS5	zntR	16151.02009	5	16	29	25	NA	22	26	Transcription	HTH-type transcriptional regulator zntR OS=Escherichia coli (strain K12) GN=zntR PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	K
P06961	cca	46419.98726	56	52	45	37	45	44	64	Translation, ribosomal structure and biogenesis	Multifunctional CCA protein OS=Escherichia coli (strain K12) GN=cca PE=1 SV=1	INFORMATION STORAGE AND PROCESSING	J
