bnumber	Description	Gene	Peptides.used.for.quantitation	Confidence.score	MW[Da]	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
b2329	Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4	aroC	10	567.91	39094.99499	b2329	E	Amino acid transport and metabolism	METABOLISM
b2330	Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3	prmB	5	547.65	34961.46662	b2330	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2331	UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1	yfcN	2	97.99	20981.980369999997	b2331	S	Function unknown	POORLY CHARACTERIZED
b2335	Uncharacterized protein yfcR OS=Escherichia coli (strain K12) GN=yfcR PE=4 SV=1	yfcR	2	56.09	17860.909	b2335	NU	Cell motility	CELLULAR PROCESSES AND SIGNALING
b2340	Phosphohistidine phosphatase sixA OS=Escherichia coli (strain K12) GN=sixA PE=1 SV=1	sixA	1	48.15	17178.5693	b2340	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b2341	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadJ PE=1 SV=1	fadJ	10	498.47	77005.72935	b2341	I	Lipid transport and metabolism	METABOLISM
b2342	3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadI PE=1 SV=1	fadI	10	421.61	46483.14049	b2342	I	Lipid transport and metabolism	METABOLISM
b2343	UPF0381 protein yfcZ OS=Escherichia coli (strain K12) GN=yfcZ PE=3 SV=1	yfcZ	3	167.61	10292.70137	b2343	S	Function unknown	POORLY CHARACTERIZED
b2344	Long-chain fatty acid transport protein OS=Escherichia coli (strain K12) GN=fadL PE=1 SV=5	fadL	11	684.13	48493.518039999995	b2344	I	Lipid transport and metabolism	METABOLISM
b2346	Probable phospholipid-binding lipoprotein mlaA OS=Escherichia coli (strain K12) GN=mlaA PE=1 SV=1	mlaA	5	175.65	28005.73403	b2346	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b2347	Inner membrane protein yfdC OS=Escherichia coli (strain K12) GN=yfdC PE=1 SV=1	yfdC	2	82.78	34462.77374	b2347	P	Inorganic ion transport and metabolism	METABOLISM
b2351	Bactoprenol glucosyl transferase homolog from prophage CPS-53 OS=Escherichia coli (strain K12) GN=yfdH PE=1 SV=1	yfdH	1	39.47	34595.50641		-		
b2352	Uncharacterized protein yfdI OS=Escherichia coli (strain K12) GN=yfdI PE=4 SV=1	yfdI	3	191.31	51431.839830000004		-		
b2366	D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3	dsdA	10	393.37	47852.138119999996	b2366	E	Amino acid transport and metabolism	METABOLISM
b2369	Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1	evgA	4	191.47	22657.79834	b2369	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b2379	Uncharacterized aminotransferase YfdZ OS=Escherichia coli (strain K12) GN=yfdZ PE=2 SV=1	alaC	6	292.7	46168.71805	b2379	E	Amino acid transport and metabolism	METABOLISM
b2381	Uncharacterized response regulatory protein ypdB OS=Escherichia coli (strain K12) GN=ypdB PE=1 SV=1	ypdB	1	36.93	28684.6737	b2381	KT	Transcription	INFORMATION STORAGE AND PROCESSING
b2388	Glucokinase OS=Escherichia coli (strain K12) GN=glk PE=1 SV=1	glk	13	908.61	34682.97956	b2388	G	Carbohydrate transport and metabolism	METABOLISM
b2393	Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1	nupC	5	203.79	43429.29651	b2393	F	Nucleotide transport and metabolism	METABOLISM
b2395	Uncharacterized protein YfeA OS=Escherichia coli (strain K12) GN=yfeA PE=2 SV=2	yfeA	1	49.69	83451.88215	b2395	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b2398	Uncharacterized protein yfeC OS=Escherichia coli (strain K12) GN=yfeC PE=4 SV=1	yfeC	1	56.72	12693.80872	b2398	-		
b2399	Uncharacterized protein yfeD OS=Escherichia coli (strain K12) GN=yfeD PE=4 SV=3	yfeD	1	105.33	14882.64968	b2399	-		
b2400	Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1	gltX	23	1464.42	53763.78958	b2400	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2411	DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2	ligA	15	994.06	73542.28557000001	b2411	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b2412	Cell division protein ZipA OS=Escherichia coli (strain K12) GN=zipA PE=1 SV=3	zipA	4	301.51	36434.29823	b2412	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
b2414	Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	cysK	26	2393.1	34450.28634	b2414	E	Amino acid transport and metabolism	METABOLISM
b2415	Phosphocarrier protein HPr OS=Escherichia coli (strain K12) GN=ptsH PE=1 SV=1	ptsH	6	457.8	9095.72664	b2415	G	Carbohydrate transport and metabolism	METABOLISM
b2416	Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1	ptsI	35	2206.55	63503.89517	b2416	G	Carbohydrate transport and metabolism	METABOLISM
b2417	Glucose-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=crr PE=1 SV=2	crr	12	660.78	18221.73165	b2417	G	Carbohydrate transport and metabolism	METABOLISM
b2418	Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2	pdxK	4	236.41	30810.14428	b2418	H	Coenzyme transport and metabolism	METABOLISM
b2421	Cysteine synthase B OS=Escherichia coli (strain K12) GN=cysM PE=1 SV=1	cysM	11	710.74	32625.48081	b2421	E	Amino acid transport and metabolism	METABOLISM
b2422	Sulfate/thiosulfate import ATP-binding protein CysA OS=Escherichia coli (strain K12) GN=cysA PE=3 SV=2	cysA	12	753.74	41015.48876	b2422	P	Inorganic ion transport and metabolism	METABOLISM
b2423	Sulfate transport system permease protein CysW OS=Escherichia coli (strain K12) GN=cysW PE=1 SV=1	cysW	2	132.75	32498.35892	b2423	P	Inorganic ion transport and metabolism	METABOLISM
b2424	Sulfate transport system permease protein CysT OS=Escherichia coli (strain K12) GN=cysU PE=3 SV=1	cysU	2	232.1	30254.2464	b2424	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2425	Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1	cysP	18	1026.7	37573.278269999995	b2425	P	Inorganic ion transport and metabolism	METABOLISM
b2426	Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3	ucpA	9	621.91	27814.33763	b2426	IQR	Lipid transport and metabolism	METABOLISM
b2427	HTH-type transcriptional regulator murR OS=Escherichia coli (strain K12) GN=murR PE=1 SV=1	murR	1	82.6	31154.3846	b2427	K	Transcription	INFORMATION STORAGE AND PROCESSING
b2428	N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli (strain K12) GN=murQ PE=1 SV=1	murQ	5	464.48	31182.14441	b2428	R	General function prediction only	POORLY CHARACTERIZED
b2430	UPF0214 protein yfeW OS=Escherichia coli (strain K12) GN=yfeW PE=3 SV=2	yfeW	8	422.01	47704.041580000005	b2430	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b2431	Uncharacterized protein yfeX OS=Escherichia coli (strain K12) GN=yfeX PE=3 SV=2	yfeX	11	961.12	33013.46217	b2431	P	Inorganic ion transport and metabolism	METABOLISM
b2432	Uncharacterized protein yfeY OS=Escherichia coli (strain K12) GN=yfeY PE=1 SV=1	yfeY	1	39.84	20866.10587	b2432	-		
b2434	Acetyltransferase YpeA OS=Escherichia coli (strain K12) GN=ypeA PE=3 SV=2	ypeA	2	113.78	16283.103959999999	b2434	R	General function prediction only	POORLY CHARACTERIZED
b2435	N-acetylmuramoyl-L-alanine amidase AmiA OS=Escherichia coli (strain K12) GN=amiA PE=1 SV=1	amiA	3	205.9	31374.883639999996	b2435	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b2436	Coproporphyrinogen-III oxidase, aerobic OS=Escherichia coli (strain K12) GN=hemF PE=1 SV=1	hemF	6	186.94	34282.783789999994	b2436	H	Coenzyme transport and metabolism	METABOLISM
b2439	Ethanolamine utilization protein EutL OS=Escherichia coli (strain K12) GN=eutL PE=1 SV=1	eutL	3	174.25	22755.48307	b2439	E	Amino acid transport and metabolism	METABOLISM
b2440	Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2	eutC	2	109.72	31743.39396	b2440	E	Amino acid transport and metabolism	METABOLISM
b2441	Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1	eutB	4	235.71	49353.63876	b2441	E	Amino acid transport and metabolism	METABOLISM
b2449	Uncharacterized protein yffR OS=Escherichia coli (strain K12) GN=yffR PE=4 SV=1	yffR	4	288.4	14526.368540000001	b2449	-		
b2450	Uncharacterized protein yffS OS=Escherichia coli (strain K12) GN=yffS PE=4 SV=2	yffS	3	208.5	29714.05213	b2450	-		
b2457	Ethanolamine utilization protein EutM OS=Escherichia coli (strain K12) GN=eutM PE=1 SV=1	eutM	2	166.04	9841.19138	b2457	QC	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
b2463	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1	maeB	46	2485.6	82346.78295	b2463	C	Energy production and conversion	METABOLISM
b2464	Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1	talA	21	1563.1	35618.46965	b2464	G	Carbohydrate transport and metabolism	METABOLISM
b2465	Transketolase 2 OS=Escherichia coli (strain K12) GN=tktB PE=1 SV=1	tktB	15	1361.71	72978.83065	b2465	G	Carbohydrate transport and metabolism	METABOLISM
b2467	GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2	nudK	4	178.09	21717.066769999998	b2467	LR	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b2468	Protein AegA OS=Escherichia coli (strain K12) GN=aegA PE=3 SV=2	aegA	1	218.18	71779.56805	b2468	ER	Amino acid transport and metabolism	METABOLISM
b2470	Probable aminoglycoside efflux pump OS=Escherichia coli (strain K12) GN=acrD PE=3 SV=3	acrD	1	61.65	112957.1519	b2470	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
b2471	Protein YffB OS=Escherichia coli (strain K12) GN=yffB PE=1 SV=1	yffB	3	113.06	13573.865280000002	b2471	P	Inorganic ion transport and metabolism	METABOLISM
b2472	Succinyl-diaminopimelate desuccinylase OS=Escherichia coli (strain K12) GN=dapE PE=1 SV=1	dapE	7	417.64	41224.8347	b2472	E	Amino acid transport and metabolism	METABOLISM
b2473	Esterase YpfH OS=Escherichia coli (strain K12) GN=ypfH PE=3 SV=2	ypfH	1	49.38	24821.4456	b2473	R	General function prediction only	POORLY CHARACTERIZED
b2475	Uncharacterized protein ypfJ OS=Escherichia coli (strain K12) GN=ypfJ PE=4 SV=1	ypfJ	6	345.36	31422.2905	b2475	R	General function prediction only	POORLY CHARACTERIZED
b2476	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) GN=purC PE=1 SV=1	purC	14	1044.81	26959.72675	b2476	F	Nucleotide transport and metabolism	METABOLISM
b2477	Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1	bamC	19	1294.42	36801.602360000004	b2477	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b2478	Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1	dapA	11	682.04	31232.09735	b2478	EM	Amino acid transport and metabolism	METABOLISM
b2479	Glycine cleavage system transcriptional repressor OS=Escherichia coli (strain K12) GN=gcvR PE=1 SV=2	gcvR	4	190.11	20737.48421	b2479	E	Amino acid transport and metabolism	METABOLISM
b2480	Putative peroxiredoxin bcp OS=Escherichia coli (strain K12) GN=bcp PE=1 SV=1	bcp	14	862.95	17604.6859	b2480	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2494	TPR repeat-containing protein yfgC OS=Escherichia coli (strain K12) GN=yfgC PE=4 SV=1	bepA	6	382.33	53856.32464	b2494	R	General function prediction only	POORLY CHARACTERIZED
b2495	Uncharacterized protein YfgD OS=Escherichia coli (strain K12) GN=yfgD PE=1 SV=1	yfgD	3	265.62	13372.08984	b2495	P	Inorganic ion transport and metabolism	METABOLISM
b2496	DnaA-homolog protein hda OS=Escherichia coli (strain K12) GN=hda PE=1 SV=2	hda	3	154.31	26597.87634	b2496	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b2498	Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1	upp	16	963.26	22500.972990000002	b2498	F	Nucleotide transport and metabolism	METABOLISM
b2499	Phosphoribosylformylglycinamidine cyclo-ligase OS=Escherichia coli (strain K12) GN=purM PE=1 SV=3	purM	10	909.59	36812.62949	b2499	F	Nucleotide transport and metabolism	METABOLISM
b2500	Phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) GN=purN PE=1 SV=1	purN	4	262.84	23205.81467	b2500	F	Nucleotide transport and metabolism	METABOLISM
b2501	Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2	ppk	12	657.97	80363.19065	b2501	P	Inorganic ion transport and metabolism	METABOLISM
b2502	Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2	ppx	6	339.72	58081.15167000001	b2502	FP	Nucleotide transport and metabolism	METABOLISM
b2507	GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1	guaA	33	2391.7	58623.86483	b2507	F	Nucleotide transport and metabolism	METABOLISM
b2508	Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1	guaB	28	2370.1	51972.011660000004	b2508	F	Nucleotide transport and metabolism	METABOLISM
b2509	Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2	xseA	5	262.16	51782.2337	b2509	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b2510	Uncharacterized protein yfgJ OS=Escherichia coli (strain K12) GN=yfgJ PE=1 SV=2	yfgJ	1	33.02	7970.746	b2510	-		
b2511	GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	der	13	689.91	54983.4506	b2511	R	General function prediction only	POORLY CHARACTERIZED
b2512	Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1	bamB	11	674.84	41843.31901	b2512	S	Function unknown	POORLY CHARACTERIZED
b2513	UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1	yfgM	8	544.81	22144.4226	b2513	S	Function unknown	POORLY CHARACTERIZED
b2514	Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2	hisS	19	1212.13	46982.01028	b2514	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2515	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispG PE=1 SV=1	ispG	16	861.29	40640.36094	b2515	I	Lipid transport and metabolism	METABOLISM
b2516	Cytoskeleton protein rodZ OS=Escherichia coli (strain K12) GN=rodZ PE=1 SV=2	rodZ	7	658.98	36151.39435	b2516	S	Function unknown	POORLY CHARACTERIZED
b2517	Ribosomal RNA large subunit methyltransferase N OS=Escherichia coli (strain K12) GN=rlmN PE=1 SV=1	rlmN	12	679.23	43039.98018	b2517	R	General function prediction only	POORLY CHARACTERIZED
b2518	Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=ndk PE=1 SV=2	ndk	8	602.36	15435.78265	b2518	F	Nucleotide transport and metabolism	METABOLISM
b2520	Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1	yfhM	17	867.54	181455.4179	b2520	R	General function prediction only	POORLY CHARACTERIZED
b2521	3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) GN=sseA PE=1 SV=3	sseA	10	903.66	30774.59912	b2521	P	Inorganic ion transport and metabolism	METABOLISM
b2522	Protein sseB OS=Escherichia coli (strain K12) GN=sseB PE=4 SV=1	sseB	3	136.82	28606.57847	b2522	-		
b2523	Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=1 SV=2	pepB	20	1453.69	46133.26021	b2523	E	Amino acid transport and metabolism	METABOLISM
b2524	Protein iscX OS=Escherichia coli (strain K12) GN=iscX PE=1 SV=1	iscX	3	233.32	7708.63154	b2524	S	Function unknown	POORLY CHARACTERIZED
b2525	2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2	fdx	8	427.59	12304.8297	b2525	C	Energy production and conversion	METABOLISM
b2526	Chaperone protein hscA OS=Escherichia coli (strain K12) GN=hscA PE=1 SV=1	hscA	14	1176.24	65594.0187	b2526	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2527	Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1	hscB	9	517.52	20107.158180000002	b2527	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2528	Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1	iscA	4	178.35	11530.68237	b2528	S	Function unknown	POORLY CHARACTERIZED
b2529	NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1	iscU	9	494.3	13821.84619	b2529	C	Energy production and conversion	METABOLISM
b2530	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1	iscS	29	2188.87	45042.919689999995	b2530	E	Amino acid transport and metabolism	METABOLISM
b2531	HTH-type transcriptional regulator iscR OS=Escherichia coli (strain K12) GN=iscR PE=1 SV=1	iscR	7	666.97	17307.896819999998	b2531	K	Transcription	INFORMATION STORAGE AND PROCESSING
b2532	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ OS=Escherichia coli (strain K12) GN=trmJ PE=1 SV=1	trmJ	3	192.36	27012.852919999998	b2532	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2533	Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1	suhB	10	639.59	29135.97683	b2533	G	Carbohydrate transport and metabolism	METABOLISM
b2545	Uncharacterized zinc-type alcohol dehydrogenase-like protein YphC OS=Escherichia coli (strain K12) GN=yphC PE=3 SV=2	yphC	2	48.55	38007.881180000004	b2545	ER	Amino acid transport and metabolism	METABOLISM
b2548	ABC transporter periplasmic-binding protein yphF OS=Escherichia coli (strain K12) GN=yphF PE=1 SV=1	yphF	5	230.75	35018.23833	b2548	G	Carbohydrate transport and metabolism	METABOLISM
b2551	Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1	glyA	32	2089.47	45269.962510000005	b2551	E	Amino acid transport and metabolism	METABOLISM
b2552	Flavohemoprotein OS=Escherichia coli (strain K12) GN=hmp PE=1 SV=1	hmp	11	595.45	43822.01281	b2552	C	Energy production and conversion	METABOLISM
b2553	Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) GN=glnB PE=1 SV=1	glnB	5	260.89	12399.5981	b2553	E	Amino acid transport and metabolism	METABOLISM
b2554	Uncharacterized protein yfhA OS=Escherichia coli (strain K12) GN=yfhA PE=3 SV=1	yfhA	2	42.63	49099.781189999994		-		
b2555	Uncharacterized protein yfhG OS=Escherichia coli (strain K12) GN=yfhG PE=4 SV=1	yfhG	1	85.14	27312.92855	b2555	-		
b2557	Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3	purL	65	4277.71	141295.8984	b2557	F	Nucleotide transport and metabolism	METABOLISM
b2559	tRNA-specific adenosine deaminase OS=Escherichia coli (strain K12) GN=tadA PE=1 SV=2	tadA	5	271.88	18687.393819999998	b2559	FJ	Nucleotide transport and metabolism	METABOLISM
b2561	Uncharacterized HTH-type transcriptional regulator yfhH OS=Escherichia coli (strain K12) GN=yfhH PE=4 SV=2	yfhH	3	301.51	30670.255810000002	b2561	K	Transcription	INFORMATION STORAGE AND PROCESSING
b2563	Holo-[acyl-carrier-protein] synthase OS=Escherichia coli (strain K12) GN=acpS PE=1 SV=3	acpS	1	104.66	14025.510119999999	b2563	I	Lipid transport and metabolism	METABOLISM
b2564	Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) GN=pdxJ PE=1 SV=2	pdxJ	7	784.35	26349.543999999998	b2564	H	Coenzyme transport and metabolism	METABOLISM
b2566	GTPase Era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2	era	3	129.02	33770.760180000005	b2566	R	General function prediction only	POORLY CHARACTERIZED
b2567	Ribonuclease 3 OS=Escherichia coli (strain K12) GN=rnc PE=1 SV=1	rnc	8	495.69	25516.297730000002	b2567	K	Transcription	INFORMATION STORAGE AND PROCESSING
b2568	Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2	lepB	6	267.05	35919.47649	b2568	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
b2569	Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	lepA	18	1104.96	66510.34926	b2569	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b2571	Sigma-E factor regulatory protein rseB OS=Escherichia coli (strain K12) GN=rseB PE=1 SV=1	rseB	5	193.29	35709.286510000005	b2571	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b2572	Sigma-E factor negative regulatory protein OS=Escherichia coli (strain K12) GN=rseA PE=1 SV=1	rseA	1	89.56	24287.99697	b2572	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
b2573	RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1	rpoE	5	320.17	21664.26101	b2573	K	Transcription	INFORMATION STORAGE AND PROCESSING
b2574	L-aspartate oxidase OS=Escherichia coli (strain K12) GN=nadB PE=1 SV=4	nadB	5	215.98	60281.35972000001	b2574	H	Coenzyme transport and metabolism	METABOLISM
b2575	tRNA (adenine-N(6)-)-methyltransferase OS=Escherichia coli (strain K12) GN=yfiC PE=1 SV=2	yfiC	1	90.25	27234.449739999996	b2575	R	General function prediction only	POORLY CHARACTERIZED
b2576	ATP-dependent RNA helicase srmB OS=Escherichia coli (strain K12) GN=srmB PE=1 SV=1	srmB	15	929.27	49865.450619999996	b2576	LKJ	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b2579	Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) GN=grcA PE=1 SV=1	grcA	8	510.56	14257.42275		-		
b2580	Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2	ung	5	243.27	25659.18035	b2580	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
b2581	Uncharacterized tRNA/rRNA methyltransferase YfiF OS=Escherichia coli (strain K12) GN=yfiF PE=3 SV=1	yfiF	8	638.45	37743.034439999996	b2581	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2582	Thioredoxin-2 OS=Escherichia coli (strain K12) GN=trxC PE=1 SV=1	trxC	2	79.39	15526.69435	b2582	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2584	Uncharacterized protein yfiQ OS=Escherichia coli (strain K12) GN=yfiQ PE=4 SV=1	yfiQ	7	430.83	97907.95641	b2584	C	Energy production and conversion	METABOLISM
b2585	CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2	pssA	17	1149.61	52750.76196	b2585	I	Lipid transport and metabolism	METABOLISM
b2587	Alpha-ketoglutarate permease OS=Escherichia coli (strain K12) GN=kgtP PE=1 SV=1	kgtP	6	323.34	47003.44462	b2587	G	Carbohydrate transport and metabolism	METABOLISM
b2592	Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1	clpB	6	3517.57	95507.92427999999	b2592	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2592	Isoform ClpB-3 of Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB	clpB	1	3038.05	95507.92427999999	b2592	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
b2593	UPF0124 protein yfiH OS=Escherichia coli (strain K12) GN=yfiH PE=1 SV=1	yfiH	1	60.73	26304.0757	b2593	S	Function unknown	POORLY CHARACTERIZED
b2594	Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) GN=rluD PE=1 SV=4	rluD	7	377.89	37080.229439999996	b2594	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2595	UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1	bamD	11	503.65	27793.80498	b2595	R	General function prediction only	POORLY CHARACTERIZED
b2597	Ribosome-associated inhibitor A OS=Escherichia coli (strain K12) GN=raiA PE=1 SV=2	raiA	5	482.0	12758.61652	b2597	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2599	P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1	pheA	13	1107.72	43066.38398	b2599	E	Amino acid transport and metabolism	METABOLISM
b2600	T-protein OS=Escherichia coli (strain K12) GN=tyrA PE=1 SV=1	tyrA	21	1161.21	41997.8894	b2600	E	Amino acid transport and metabolism	METABOLISM
b2601	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) GN=aroF PE=1 SV=1	aroF	14	1212.09	38761.41858	b2601	E	Amino acid transport and metabolism	METABOLISM
b2605	Putative lipoprotein yfiB OS=Escherichia coli (strain K12) GN=yfiB PE=3 SV=2	yfiB	1	47.65	17215.726130000003	b2605	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
b2606	50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2	rplS	9	491.83	13107.18035	b2606	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2607	tRNA (guanine-N(1)-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmD PE=1 SV=1	trmD	6	228.9	28386.44362	b2607	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2608	Ribosome maturation factor rimM OS=Escherichia coli (strain K12) GN=rimM PE=1 SV=1	rimM	7	188.95	20574.28939	b2608	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
b2609	30S ribosomal protein S16 OS=Escherichia coli (strain K12) GN=rpsP PE=1 SV=1	rpsP	5	408.11	9166.93958	b2609	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
